symbol,time,open,high,low,close,volume
ETH-EUR,2024-01-01T05:00:00,2069.8,2072.15,2069.8,2071.61,3.65031332
ETH-EUR,2024-01-01T04:58:00,2068.28,2069.33,2068.27,2069.33,2.86531401
ETH-EUR,2024-01-01T04:57:00,2068.06,2068.35,2068.06,2068.35,0.00914895
ETH-EUR,2024-01-01T04:56:00,2067.68,2067.68,2067.68,2067.68,1.42
ETH-EUR,2024-01-01T04:55:00,2068.33,2068.33,2067.97,2067.97,2.20025949
ETH-EUR,2024-01-01T04:53:00,2068.22,2068.26,2068.22,2068.26,0.00967371
ETH-EUR,2024-01-01T04:52:00,2067.36,2067.51,2067.16,2067.16,0.18083725
ETH-EUR,2024-01-01T04:51:00,2066.21,2066.9,2066.21,2066.9,0.93483966
ETH-EUR,2024-01-01T04:50:00,2066.92,2067.32,2066.67,2067.32,1.8599429
ETH-EUR,2024-01-01T04:49:00,2067.1,2067.1,2066.51,2066.51,0.85893766
ETH-EUR,2024-01-01T04:48:00,2066.1,2066.1,2066.1,2066.1,0.00483966
ETH-EUR,2024-01-01T04:47:00,2065.64,2065.64,2065.63,2065.63,0.23040373
ETH-EUR,2024-01-01T04:45:00,2065.34,2065.34,2064.04,2064.04,0.19356519
ETH-EUR,2024-01-01T04:44:00,2064.79,2065.16,2064.79,2065.16,1.44536916
ETH-EUR,2024-01-01T04:43:00,2065.22,2065.22,2063.55,2063.98,2.06985337
ETH-EUR,2024-01-01T04:42:00,2066.44,2066.44,2065.48,2065.94,11.43432923
ETH-EUR,2024-01-01T04:40:00,2065.61,2066.16,2065.61,2066.16,0.01255104
ETH-EUR,2024-01-01T04:36:00,2065.78,2065.85,2065.78,2065.85,0.0675359
ETH-EUR,2024-01-01T04:35:00,2065.05,2065.44,2065.05,2065.44,1.525901
ETH-EUR,2024-01-01T04:34:00,2065.08,2065.08,2065.08,2065.08,0.11714324
ETH-EUR,2024-01-01T04:32:00,2063.41,2064.13,2062.89,2064.13,7.66578969
ETH-EUR,2024-01-01T04:29:00,2062.73,2062.73,2062.73,2062.73,0.00196806
ETH-EUR,2024-01-01T04:28:00,2061.9,2061.9,2061.9,2061.9,0.04129694
ETH-EUR,2024-01-01T04:24:00,2063.56,2064.18,2063.56,2064.11,0.9538793
ETH-EUR,2024-01-01T04:22:00,2059.5,2059.97,2059.5,2059.92,9.64674766
ETH-EUR,2024-01-01T04:21:00,2058.53,2059.5,2057.0,2057.73,3.16132893
ETH-EUR,2024-01-01T04:20:00,2060.96,2060.96,2058.07,2058.9,21.43228399
ETH-EUR,2024-01-01T04:19:00,2061.86,2061.86,2061.53,2061.53,1.7455478
ETH-EUR,2024-01-01T04:18:00,2061.55,2061.85,2061.0,2061.0,5.46288083
ETH-EUR,2024-01-01T04:17:00,2062.46,2062.46,2061.9,2061.9,2.36017961
ETH-EUR,2024-01-01T04:16:00,2062.6,2063.13,2062.04,2063.13,1.27949352
ETH-EUR,2024-01-01T04:15:00,2065.02,2065.02,2065.02,2065.02,0.00484201
ETH-EUR,2024-01-01T04:14:00,2063.75,2065.12,2062.71,2065.02,10.24163432
ETH-EUR,2024-01-01T04:13:00,2066.63,2066.63,2063.97,2064.03,6.1106898
ETH-EUR,2024-01-01T04:12:00,2068.08,2068.08,2067.97,2067.97,0.00967136
ETH-EUR,2024-01-01T04:11:00,2067.22,2067.22,2067.22,2067.22,0.09743338
ETH-EUR,2024-01-01T04:10:00,2068.55,2068.81,2068.43,2068.43,0.36033002
ETH-EUR,2024-01-01T04:07:00,2068.64,2068.64,2068.64,2068.64,0.0112494
ETH-EUR,2024-01-01T04:05:00,2068.19,2069.21,2068.19,2069.21,0.09185021
ETH-EUR,2024-01-01T04:04:00,2067.29,2067.29,2067.27,2067.27,0.18703246
ETH-EUR,2024-01-01T04:03:00,2067.89,2068.11,2067.89,2068.08,1.29593649
ETH-EUR,2024-01-01T04:02:00,2066.53,2066.97,2066.53,2066.97,1.54751645
ETH-EUR,2024-01-01T04:00:00,2064.22,2064.61,2064.22,2064.61,0.00432497
ETH-EUR,2024-01-01T03:56:00,2065.82,2066.09,2065.48,2065.48,0.19902751
ETH-EUR,2024-01-01T03:53:00,2064.15,2064.15,2063.24,2063.24,0.27604842
ETH-EUR,2024-01-01T03:52:00,2065.67,2065.87,2065.2,2065.2,1.16928187
ETH-EUR,2024-01-01T03:50:00,2067.96,2067.96,2066.91,2066.91,1.05274754
ETH-EUR,2024-01-01T03:46:00,2063.69,2063.89,2062.67,2063.89,6.33510107
ETH-EUR,2024-01-01T03:45:00,2064.87,2064.87,2063.9,2064.36,1.30279444
ETH-EUR,2024-01-01T03:44:00,2065.79,2066.37,2065.79,2066.37,17.56325
ETH-EUR,2024-01-01T03:43:00,2067.0,2067.0,2065.0,2065.27,6.71188291
ETH-EUR,2024-01-01T03:42:00,2067.18,2067.84,2067.18,2067.84,0.89727927
ETH-EUR,2024-01-01T03:41:00,2069.18,2069.18,2068.04,2068.04,2.75228125
ETH-EUR,2024-01-01T03:39:00,2070.96,2071.02,2070.72,2070.72,0.38331997
ETH-EUR,2024-01-01T03:36:00,2072.84,2073.12,2072.8,2073.12,0.26609534
ETH-EUR,2024-01-01T03:35:00,2071.0,2072.13,2070.99,2072.13,1.75031568
ETH-EUR,2024-01-01T03:33:00,2071.38,2071.38,2071.0,2071.19,3.7250793
ETH-EUR,2024-01-01T03:32:00,2072.15,2072.15,2072.15,2072.15,0.00339482
ETH-EUR,2024-01-01T03:31:00,2072.24,2073.07,2072.23,2073.07,3.0372118
ETH-EUR,2024-01-01T03:30:00,2072.45,2073.7,2072.45,2073.7,0.90266816
ETH-EUR,2024-01-01T03:29:00,2072.35,2072.35,2072.35,2072.35,0.01122835
ETH-EUR,2024-01-01T03:27:00,2072.37,2072.37,2072.37,2072.37,0.61
ETH-EUR,2024-01-01T03:25:00,2073.1,2073.73,2073.1,2073.73,2.19
ETH-EUR,2024-01-01T03:24:00,2073.5,2073.5,2073.1,2073.1,0.89
ETH-EUR,2024-01-01T03:22:00,2075.92,2076.27,2074.54,2074.54,13.1052282
ETH-EUR,2024-01-01T03:21:00,2074.51,2075.49,2074.51,2075.49,0.97312
ETH-EUR,2024-01-01T03:20:00,2074.88,2075.03,2074.88,2075.03,0.03005908
ETH-EUR,2024-01-01T03:19:00,2074.62,2075.16,2074.37,2075.16,1.23724156
ETH-EUR,2024-01-01T03:18:00,2075.59,2075.59,2074.73,2074.73,0.44831932
ETH-EUR,2024-01-01T03:17:00,2075.71,2075.71,2074.79,2074.8,8.66375637
ETH-EUR,2024-01-01T03:16:00,2076.6,2076.6,2076.08,2076.08,3.56926071
ETH-EUR,2024-01-01T03:15:00,2077.15,2077.31,2076.64,2077.31,5.22484071
ETH-EUR,2024-01-01T03:14:00,2079.3,2079.3,2078.47,2078.47,6.69007695
ETH-EUR,2024-01-01T03:13:00,2080.76,2080.76,2079.6,2079.6,0.13605955
ETH-EUR,2024-01-01T03:12:00,2080.58,2080.58,2079.72,2079.72,0.02984742
ETH-EUR,2024-01-01T03:10:00,2079.86,2079.86,2079.81,2079.81,0.22729307
ETH-EUR,2024-01-01T03:09:00,2080.83,2080.83,2079.99,2080.14,2.28372855
ETH-EUR,2024-01-01T03:06:00,2082.11,2082.45,2082.1,2082.45,0.2850464
ETH-EUR,2024-01-01T03:05:00,2080.89,2081.63,2080.89,2081.37,0.64664328
ETH-EUR,2024-01-01T03:04:00,2082.63,2082.98,2081.8,2081.8,0.06997016
ETH-EUR,2024-01-01T03:02:00,2081.68,2082.15,2081.68,2082.15,0.22778934
ETH-EUR,2024-01-01T03:01:00,2082.0,2082.1,2080.88,2081.03,15.93359897
ETH-EUR,2024-01-01T03:00:00,2082.56,2082.56,2082.2,2082.36,0.08487338
ETH-EUR,2024-01-01T02:59:00,2082.4,2082.53,2082.01,2082.41,0.47355726
ETH-EUR,2024-01-01T02:58:00,2083.11,2083.11,2082.59,2082.59,0.01711783
ETH-EUR,2024-01-01T02:56:00,2083.14,2083.52,2083.14,2083.52,0.44147611
ETH-EUR,2024-01-01T02:55:00,2083.53,2083.53,2083.41,2083.41,0.01526186
ETH-EUR,2024-01-01T02:54:00,2083.85,2083.85,2083.85,2083.85,0.00040785
ETH-EUR,2024-01-01T02:52:00,2084.26,2084.26,2083.8,2083.8,0.1215823
ETH-EUR,2024-01-01T02:51:00,2083.47,2084.79,2083.47,2084.79,0.92182277
ETH-EUR,2024-01-01T02:50:00,2080.75,2082.4,2080.75,2082.4,1.66096137
ETH-EUR,2024-01-01T02:49:00,2082.71,2082.71,2081.81,2081.81,0.07925708
ETH-EUR,2024-01-01T02:48:00,2083.01,2083.01,2082.71,2082.71,0.20116981
ETH-EUR,2024-01-01T02:47:00,2083.46,2083.46,2083.46,2083.46,0.00040786
ETH-EUR,2024-01-01T02:46:00,2084.83,2084.83,2083.29,2083.29,0.00545965
ETH-EUR,2024-01-01T02:45:00,2083.91,2083.91,2083.65,2083.65,0.00928233
ETH-EUR,2024-01-01T02:44:00,2083.9,2084.21,2083.9,2084.21,0.22539958
ETH-EUR,2024-01-01T02:42:00,2084.16,2084.29,2084.09,2084.09,1.24282897
ETH-EUR,2024-01-01T02:41:00,2085.06,2085.06,2085.04,2085.04,4.9898299
ETH-EUR,2024-01-01T02:39:00,2088.12,2088.12,2087.38,2087.38,0.27052128
ETH-EUR,2024-01-01T02:38:00,2088.34,2088.34,2088.34,2088.34,0.00647169
ETH-EUR,2024-01-01T02:37:00,2087.12,2087.28,2086.14,2087.28,11.05032241
ETH-EUR,2024-01-01T02:35:00,2087.32,2087.54,2087.32,2087.54,1.1823021
ETH-EUR,2024-01-01T02:34:00,2086.38,2086.88,2086.06,2086.82,1.27786476
ETH-EUR,2024-01-01T02:31:00,2086.65,2086.65,2086.65,2086.65,0.13689813
ETH-EUR,2024-01-01T02:30:00,2086.5,2086.56,2086.26,2086.56,1.78825239
ETH-EUR,2024-01-01T02:29:00,2085.78,2085.78,2085.67,2085.67,0.33949875
